,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
256,SOAD19597,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.491,0.153,9180.0,1983.0,,0.11229,1592.64742,,,0.0,,Low,Not Rated,,0.0633,45.0,15.3,
257,SOAD19677,Navaldia,Yes,Other,,5.241,0.057,,,,,2.66329,,03/08/2018,2.0,,Significant,Not Rated,,0.1788,339.2,458.9,
261,SOAD00787,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.937,0.117,2800.0,1962.0,,0.03349,1669.88283,Uncontrolled,,0.0,,Low,Not Rated,,0.1295,47.3,13.1,
262,SOAD01392,Navaldia,Yes,Flood Risk Reduction,Earth,5.932,0.067,,2000.0,,,2.66329,,25/10/2019,1.0,,High,Satisfactory,,0.0891,543.8,701.4,
264,SOAD04209,Lyndrassia,Yes,,Earth,15.981,0.222,30000.0,1980.0,,0.01773,0.0,Uncontrolled,13/10/2022,5.0,,Low,Satisfactory,21/12/2007,0.0474,42.4,12.0,
266,SOAD05241,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.608,0.1,6600.0,1967.0,,0.00788,1600.63729,Uncontrolled,,0.0,,Low,Not Rated,,0.077,34.7,15.8,
267,SOAD06200,Lyndrassia,No,Fish and Wildlife Pond,Earth,11.51,0.163,11556.0,1995.0,,0.01182,316.93151,Uncontrolled,,0.0,,Low,Not Rated,,0.1201,34.9,16.9,
268,SOAD06884,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,14.639,0.133,,1948.0,,,,,,,20.19,Low,,,0.1104,11.6,229.6,
269,SOAD07429,Navaldia,Yes,Other,Earth,6.226,0.065,,1980.0,2014H,0.01773,2.66329,,12/07/2019,2.0,,Significant,Satisfactory,,0.1442,17.4,167.0,
271,SOAD11807,Lyndrassia,No,Other,Earth,12.239,,0.0,,,0.00788,149.14424,,,0.0,0.0,Low,Not Rated,,0.08,39.5,209.5,
272,SOAD12364,Lyndrassia,No,Grade Stabilization,Earth,10.979,0.093,7262.0,2002.0,,0.00788,290.29861,Uncontrolled,31/03/2004,0.0,,Low,Not Rated,,0.0878,42.0,9.6,
275,SOAD16112,Navaldia,No,,Buttress,4.57,0.04,,,1930O,0.02364,42.61264,Uncontrolled,13/07/2009,,,Significant,Not Rated,13/07/2014,0.1189,26.3,134.1,
276,SOAD17341,Lyndrassia,No,Other,,8.921,,0.0,1983.0,,0.00788,495.37194,,,0.0,21.56,Low,Not Rated,,0.0593,39.0,102.8,
279,SOAD19003,Lyndrassia,No,Grade Stabilization,Earth,11.324,0.098,9558.0,1991.0,,0.00788,2471.53312,Uncontrolled,,0.0,,Low,Not Rated,,0.0692,38.9,5.9,
282,SOAD19779,Navaldia,Yes,Flood Risk Reduction,Earth,6.403,0.083,,1948.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,,High,Satisfactory,24/08/2020,0.0662,20.9,854.4,
283,SOAD20352,Flumevale,Yes,Flood Risk Reduction,Earth,13.481,0.05,145.0,1974.0,1977,0.00788,0.0,,02/12/2016,3.0,1.69,Low,Not Rated,,0.1019,8.8,357.6,
284,SOAD01104,Navaldia,Yes,Flood Risk Reduction,Earth,3.515,0.163,,1981.0,,,15.97974,,24/06/2020,2.0,,Significant,Fair,,0.1248,285.9,442.9,
285,SOAD01658,Lyndrassia,No,Grade Stabilization,Earth,8.902,0.123,9660.0,2009.0,,0.04925,356.88086,Uncontrolled,01/10/2009,0.0,,Low,Not Rated,,0.0889,6.3,11.1,
286,SOAD01811,Lyndrassia,No,Grade Stabilization,Earth,11.695,0.08,6151.0,1995.0,,0.06501,2407.61416,Uncontrolled,23/06/1995,0.0,,Low,Not Rated,,0.0796,24.8,6.2,
288,SOAD03452,Lyndrassia,No,Grade Stabilization,Earth,11.688,0.091,7528.0,1991.0,,0.02561,1273.05262,Uncontrolled,,0.0,,Low,Not Rated,,0.0832,17.1,21.4,
289,SOAD06483,Flumevale,No,,Earth,8.502,0.0,0.0,1944.0,,0.0197,1078.63245,,07/12/2022,,,Significant,Not Available,,0.1584,30.1,235.0,
290,SOAD06864,Lyndrassia,No,Grade Stabilization,Earth,12.755,0.072,4515.0,1994.0,,0.0788,3129.36575,Uncontrolled,,5.0,,Low,Not Rated,,0.078,6.1,17.5,
291,SOAD08262,Lyndrassia,No,Grade Stabilization,Earth,9.363,0.101,6473.0,1994.0,,0.08077,775.01739,Uncontrolled,,0.0,,Low,Not Rated,,0.1034,6.4,17.6,
293,SOAD09248,Flumevale,Yes,Other,Earth,15.568,0.133,42562.0,1979.0,,0.00788,0.0,,01/01/1991,6.0,24.89,Low,Not Rated,,0.0225,20.2,171.7,
297,SOAD12125,Lyndrassia,No,,Earth,11.628,,0.0,,,0.00788,71.90883,,,0.0,25.04,Low,Not Rated,,0.1051,14.0,394.0,
300,SOAD14051,Navaldia,Yes,Flood Risk Reduction,Earth,3.013,0.183,,1991.0,,,13.31645,,18/07/2017,2.0,,Significant,Fair,,0.1556,47.3,312.9,
301,SOAD14140,Navaldia,Yes,Flood Risk Reduction,Earth,11.204,0.162,,1974.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1179,27.6,17.9,
302,SOAD14713,Lyndrassia,No,Grade Stabilization,Earth,11.528,0.073,6519.0,1993.0,,0.02561,322.25809,Uncontrolled,,0.0,,Low,Not Rated,,0.0991,28.0,5.9,
303,SOAD16337,Navaldia,No,,Earth,9.565,0.138,6456.0,1967.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0848,32.1,12.8,
304,SOAD18273,Navaldia,Yes,Flood Risk Reduction,Earth,4.589,0.08,5280.0,2009.0,,0.01182,2.66329,Uncontrolled,08/12/2021,5.0,,Significant,Fair,27/07/2022,0.1109,35.9,288.4,
305,SOAD19269,Lyndrassia,No,Grade Stabilization,Earth,10.809,0.113,8360.0,2006.0,,0.06107,676.47566,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.1193,46.7,6.0,
306,SOAD20303,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.005,0.133,20000.0,1972.0,,0.00788,322.25809,Uncontrolled,,0.0,,Low,Not Rated,,0.0573,26.9,7.3,
309,SOAD02894,Flumevale,Yes,Debris Control,Earth,13.579,0.088,28000.0,1962.0,,0.00788,2.66329,,20/10/2021,1.0,0.0,High,Satisfactory,01/09/2017,0.0753,16.4,234.3,
310,SOAD04236,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.388,0.067,,1916.0,,,,,,,92.16,Low,,,0.0756,13.1,149.8,
311,SOAD04491,Lyndrassia,No,Grade Stabilization,Earth,11.103,0.088,8982.0,1995.0,,0.15957,10541.30182,Uncontrolled,,0.0,,Low,Not Rated,,0.0839,8.1,22.2,
312,SOAD05526,Lyndrassia,No,Grade Stabilization,Earth,11.089,0.087,5713.0,2006.0,,0.00788,1118.5818,Uncontrolled,31/10/2006,0.0,,Low,Not Rated,,0.0824,5.9,5.1,
314,SOAD09086,Navaldia,Yes,Flood Risk Reduction,Earth,4.75,0.167,,,,,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.1451,402.7,57.2,
315,SOAD09089,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.81,0.183,13890.0,2002.0,,0.05713,1861.63971,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.0838,34.6,4.9,
316,SOAD10265,Navaldia,Yes,Flood Risk Reduction,Earth,4.674,0.072,,1998.0,,,7.98987,,29/12/2020,1.0,,High,Satisfactory,,0.103,672.0,548.8,
317,SOAD11405,Lyndrassia,Yes,,Earth,13.084,0.08,,,,0.00591,0.0,Uncontrolled,05/04/2022,2.0,0.84,High,Satisfactory,21/04/2014,0.1017,12.2,458.5,
318,SOAD11757,Lyndrassia,No,Grade Stabilization,Earth,10.062,0.093,8522.0,2005.0,,0.0453099999999999,2831.07727,Uncontrolled,30/09/2005,0.0,,Low,Not Rated,,0.1182,11.5,20.1,
319,SOAD11936,Navaldia,Yes,Flood Risk Reduction,Earth,8.07,0.167,,1948.0,2018H,0.01379,2.66329,Uncontrolled,12/02/2020,5.0,0.0,High,Satisfactory,31/03/2021,0.0684,15.5,337.3,
321,SOAD12605,Navaldia,Yes,,Earth,7.055,0.163,,1930.0,2017H,0.01182,0.0,Uncontrolled,08/03/2018,5.0,0.0,High,Not Rated,08/03/2023,0.1045,35.4,448.4,
322,SOAD13101,Lyndrassia,No,Fish and Wildlife Pond,Earth,12.862,0.087,9893.0,2000.0,,0.03349,719.0883,Uncontrolled,30/05/2000,5.0,,Low,Not Rated,,0.0709,33.1,9.2,
323,SOAD14315,Lyndrassia,No,Grade Stabilization,Earth,11.094,0.073,7788.0,2007.0,,0.04137,178.44043,Uncontrolled,03/10/2007,0.0,,Low,Not Rated,,0.1082,16.8,14.6,
324,SOAD16038,Lyndrassia,No,Grade Stabilization,Earth,11.398,0.117,7455.0,1997.0,,0.00788,609.89341,Uncontrolled,,0.0,,Low,Not Rated,,0.079,45.8,20.0,
325,SOAD16478,Lyndrassia,No,Grade Stabilization,Earth,10.047,0.076,5974.0,2017.0,,0.00788,0.0,Uncontrolled,02/08/2017,5.0,28.5,Low,Not Available,,0.0656,36.4,413.1,
326,SOAD16803,Lyndrassia,No,Other,Earth,13.721,0.092,6373.0,1997.0,,0.05122,1318.32855,Uncontrolled,,0.0,,Low,Not Rated,,0.1009,28.6,20.9,
327,SOAD17462,Navaldia,Yes,,Earth,6.538,0.15,,,2012S,,2.66329,Uncontrolled,12/10/2016,5.0,,High,Not Rated,12/10/2021,0.092,768.8,638.5,
328,SOAD17753,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.678,0.062,8215.0,1989.0,,0.05713,2085.35607,Uncontrolled,,0.0,,Low,Not Rated,,0.0983,22.8,19.9,
329,SOAD17880,Lyndrassia,No,Grade Stabilization,Earth,11.248,0.1,7075.0,2004.0,,0.05713,1542.04491,Uncontrolled,01/11/2004,0.0,,Low,Not Rated,,0.0968,15.4,8.8,
330,SOAD17927,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,12.302,0.054,5964.0,1989.0,,0.03349,934.81479,Uncontrolled,,0.0,,Low,Not Rated,,0.1003,20.1,18.9,
332,SOAD18712,Lyndrassia,No,Grade Stabilization,Earth,10.397,0.088,5645.0,1998.0,,0.05319,945.46795,Uncontrolled,,0.0,,Low,Not Rated,,0.0796,5.4,5.0,
333,SOAD19386,Lyndrassia,No,Grade Stabilization,Earth,11.809,0.153,7120.0,1973.0,,0.00788,905.5186,Uncontrolled,,0.0,,Low,Not Rated,,0.124,9.8,13.2,
334,SOAD19621,Lyndrassia,No,Grade Stabilization,Earth,10.445,0.108,6435.0,1996.0,,0.03349,2298.41927,Uncontrolled,,0.0,,Low,Not Rated,,0.1183,6.7,17.1,
335,SOAD19752,Lyndrassia,No,Grade Stabilization,Earth,11.758,0.093,10167.0,1990.0,,0.04925,2162.59148,Uncontrolled,,0.0,,Low,Not Rated,,0.1104,6.5,18.2,
336,SOAD19913,Flumevale,No,Other,Earth,5.106,0.033,,,,,,,,,1.01,High,Not Available,,0.1051,885.0,246.6,
337,SOAD00040,Lyndrassia,No,Grade Stabilization,Earth,10.367,0.089,7087.0,2002.0,,0.02561,524.66813,Uncontrolled,21/11/2002,0.0,,Low,Not Rated,,0.127,35.0,23.3,
342,SOAD02499,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.096,0.078,6474.0,1989.0,,0.08274,2897.65952,Uncontrolled,,0.0,,Low,Not Rated,,0.1008,12.2,6.3,
343,SOAD03001,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,16.796,0.067,0.0,1973.0,,0.02364,0.0,,30/10/2019,,14.5,Low,Not Rated,21/12/2007,0.122,23.4,149.2,
346,SOAD06132,Lyndrassia,No,Grade Stabilization,Earth,10.976,0.117,10913.0,2005.0,,0.01773,793.6604199999999,Uncontrolled,30/09/2005,0.0,,Low,Not Rated,,0.0682,32.0,17.9,
347,SOAD06955,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.837,0.108,8200.0,2001.0,,0.07683,3086.75311,Uncontrolled,01/09/2001,0.0,,Low,Not Rated,,0.0634,6.7,12.3,
349,SOAD07911,Lyndrassia,No,Grade Stabilization,Earth,11.687,0.067,6370.0,2006.0,,0.04334,1121.24509,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.064,31.6,23.4,
351,SOAD08173,Flumevale,Yes,Debris Control,Earth,23.083,0.082,62000.0,1957.0,,0.01773,,,17/02/2022,1.0,0.16,High,Satisfactory,01/09/2017,0.0867,41.5,699.0,
352,SOAD08611,Navaldia,Yes,Flood Risk Reduction,Earth,4.683,0.167,,2005.0,,0.00788,2.66329,,10/10/2019,1.0,,High,Fair,,0.11,33.0,919.9,
354,SOAD09199,Lyndrassia,No,Grade Stabilization,Earth,10.062,0.117,5430.0,1976.0,,0.04925,1222.45011,Uncontrolled,,0.0,,Low,Not Rated,,0.0613,7.8,17.8,
355,SOAD10193,Lyndrassia,Yes,,Earth,12.262,0.07,,,,0.01182,0.0,,19/12/2018,5.0,,Significant,Satisfactory,02/01/2014,0.1123,32.3,125.2,
358,SOAD11694,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.957,0.047,,1960.0,,,,,,,28.27,Low,,,0.0837,22.7,362.6,
359,SOAD11940,Navaldia,No,Other,Earth,12.801,0.141,12791.0,1979.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0836,29.5,23.8,
360,SOAD13287,Navaldia,Yes,Flood Risk Reduction,Earth,5.511,0.073,,1990.0,,0.00394,2.66329,,03/08/2018,2.0,,Significant,Not Rated,,0.1451,21.4,39.1,
362,SOAD15245,Lyndrassia,No,Grade Stabilization,Earth,13.099,0.103,8022.0,1980.0,,0.00788,404.82008,Uncontrolled,,5.0,,Low,Not Rated,,0.0351,24.4,6.3,
363,SOAD15344,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.461,0.117,,1939.0,,,,,,,16.94,Low,,,0.0993,15.2,378.9,
364,SOAD15361,Lyndrassia,No,Grade Stabilization,Earth,10.173,0.09,7517.0,1997.0,,0.00788,2040.08014,Uncontrolled,,0.0,,Low,Not Rated,,0.1154,45.2,7.4,
365,SOAD15532,Lyndrassia,No,Grade Stabilization,Earth,10.993,0.107,6863.0,2007.0,,0.06501,2801.78108,Uncontrolled,08/09/2007,0.0,,Low,Not Rated,,0.1145,21.3,16.6,
366,SOAD16783,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.72,0.183,,1971.0,,0.0,1877.61945,,,,,Low,Not Rated,18/06/2014,0.119,46.0,11.0,
367,SOAD18733,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.746,0.083,5300.0,1999.0,,0.08077,2894.99623,Uncontrolled,01/11/1999,0.0,,Low,Not Rated,,0.1067,43.6,13.5,
368,SOAD19158,Lyndrassia,No,Debris Control,Earth,8.51,0.482,,,,0.0394,5.32658,Uncontrolled,02/08/2023,4.0,17.17,Low,Fair,02/08/2023,0.0588,13.2,177.7,
369,SOAD19635,Flumevale,Yes,Flood Risk Reduction,Earth,13.349,0.07,10875.0,1959.0,,0.01576,0.0,Uncontrolled,05/11/2013,3.0,12.74,Low,Satisfactory,15/04/2019,0.0613,7.7,425.9,
370,SOAD19898,Lyndrassia,No,Grade Stabilization,Earth,10.772,0.08,6510.0,1986.0,,0.01576,45.27593,Uncontrolled,,0.0,,Low,Not Rated,,0.0998,9.1,16.0,
371,SOAD19974,Lyndrassia,No,Grade Stabilization,Earth,11.134,0.113,6526.0,2007.0,,0.00788,133.1645,Uncontrolled,03/10/2007,0.0,,Low,Not Rated,,0.0757,5.6,22.8,
372,SOAD20174,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.98,0.15,15000.0,1958.0,,0.08274,1739.12837,Uncontrolled,,0.0,,Low,Not Rated,,0.0801,8.8,15.7,
373,SOAD00545,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.743,0.067,7817.0,1989.0,,0.03349,1563.35123,Uncontrolled,,0.0,,Low,Not Rated,,0.0734,34.1,7.1,
374,SOAD04699,Navaldia,Yes,Flood Risk Reduction,Earth,2.74,0.054,,2004.0,,,7.98987,,24/01/2020,2.0,,Significant,Fair,,0.1278,56.1,101.3,
377,SOAD06829,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.483,0.05,,1965.0,,,,,,,21.83,Low,,,0.0773,5.2,114.2,
379,SOAD07705,Flumevale,Yes,,Earth,11.951,0.077,0.0,1950.0,,0.01379,,,10/08/2022,1.0,2.3,High,Fair,01/09/2017,0.1022,16.9,449.3,
380,SOAD07826,Lyndrassia,No,Grade Stabilization,Earth,9.896,0.103,4890.0,1974.0,,0.06107,7363.996849999999,Uncontrolled,,0.0,,Low,Not Rated,,0.1182,9.8,10.6,
381,SOAD08394,Navaldia,Yes,,Earth,6.541,0.243,,,,,0.0,Uncontrolled,07/06/2023,,2.49,High,Not Rated,06/12/2019,0.143,809.3,227.7,
382,SOAD08586,Navaldia,No,,,6.077,0.093,,,,0.02561,,Uncontrolled,30/08/2022,,,Significant,Fair,10/04/2023,0.1578,31.8,404.4,
383,SOAD08622,Lyndrassia,No,Grade Stabilization,Earth,10.533,0.127,5166.0,1964.0,,0.1871499999999999,2133.29529,Uncontrolled,27/03/1981,0.0,,Low,Not Rated,,0.085,42.4,6.0,
386,SOAD10362,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.473,0.121,,1979.0,,0.0,559.2909,,,,,Low,Not Rated,18/06/2014,0.1315,16.9,7.8,
387,SOAD10689,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.004,0.115,8343.0,2002.0,,0.04334,836.27306,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.131,12.4,14.5,
388,SOAD11668,Lyndrassia,No,Grade Stabilization,Earth,11.63,0.117,7477.0,1992.0,,0.04137,1739.12837,Uncontrolled,,0.0,,Low,Not Rated,,0.0735,37.0,5.0,
389,SOAD12270,Navaldia,No,,Earth,9.44,0.163,11138.0,1980.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0659,39.4,10.5,
391,SOAD12505,Lyndrassia,No,Other,Earth,9.908,0.137,9388.0,1999.0,,0.03349,612.5567,Uncontrolled,24/09/1999,1.0,,Low,Not Rated,,0.0984,22.5,10.7,
392,SOAD12596,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.957,0.079,5158.0,2002.0,,0.06895,2096.00923,Uncontrolled,01/09/2002,0.0,,Low,Not Rated,,0.0828,20.7,11.6,
393,SOAD13085,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.456,0.1,10000.0,1977.0,,0.02561,1083.95903,Uncontrolled,,0.0,,Low,Not Rated,,0.1058,38.1,13.8,
394,SOAD13479,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,23.569,0.163,83018.0,1962.0,,0.07683,,,18/04/2012,5.0,6.21,Low,Not Rated,,0.0705,19.4,309.7,
395,SOAD14110,Navaldia,No,,,0.0,,,,,,,,,,,Significant,Not Rated,18/01/2019,0.12,445.6,390.3,
397,SOAD16204,Navaldia,Yes,Flood Risk Reduction,Concrete,3.708,0.067,,2003.0,2003H,,2.66329,,04/10/2019,1.0,,High,Satisfactory,,0.1081,681.6,892.8,
398,SOAD16417,Lyndrassia,No,Grade Stabilization,Earth,10.061,0.083,4823.0,2006.0,,0.05713,817.63003,Uncontrolled,30/09/2006,0.0,,Low,Not Rated,,0.0609,37.0,19.2,
399,SOAD16601,Lyndrassia,No,Grade Stabilization,Earth,10.104,0.103,9097.0,1992.0,,0.02561,1131.89825,Uncontrolled,,0.0,,Low,Not Rated,,0.0768,37.2,18.6,
400,SOAD17220,Lyndrassia,No,Grade Stabilization,Earth,12.706,0.167,7080.0,1974.0,,0.00788,332.91125,Uncontrolled,,5.0,,Low,Not Rated,,0.0696,9.2,6.4,
401,SOAD19246,Navaldia,Yes,Flood Risk Reduction,Earth,3.056,0.117,,1999.0,,,2.66329,,02/12/2020,2.0,,Significant,Fair,,0.1353,432.8,33.7,
402,SOAD19427,Lyndrassia,No,Grade Stabilization,Earth,11.363,0.078,7557.0,1989.0,,0.01576,189.09359,Uncontrolled,,0.0,,Low,Not Rated,,0.1269,26.5,16.1,
404,SOAD20780,Navaldia,Yes,Flood Risk Reduction,Earth,7.761,0.195,,1998.0,1998S,0.0197,0.0,Uncontrolled,29/11/2016,5.0,7.76,High,Not Rated,29/11/2021,0.1033,18.5,318.4,
406,SOAD00652,Lyndrassia,Yes,Other,Earth,11.95,0.072,0.0,2000.0,2003,,0.0,,31/03/2004,0.0,,High,Not Rated,,0.1121,662.6,520.2,
407,SOAD00872,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.281,0.1,3000.0,1967.0,,0.01576,330.24796,Uncontrolled,,0.0,,Low,Not Rated,,0.0972,5.2,18.1,
408,SOAD01919,Lyndrassia,No,Flood Risk Reduction,Earth,8.379,0.227,13039.0,2004.0,,0.00788,239.6961,Uncontrolled,30/06/2004,0.0,,Low,Not Rated,,0.1209,43.6,18.5,
409,SOAD02075,Flumevale,No,Other,Earth,26.928,0.133,,,,,,,,,6.39,High,Not Available,,0.0841,520.5,161.2,
411,SOAD03403,Lyndrassia,No,Grade Stabilization,Earth,9.956,0.094,5961.0,1994.0,,0.04137,71.90883,Uncontrolled,,0.0,,Low,Not Rated,,0.0827,45.6,12.6,
414,SOAD05745,Lyndrassia,No,Grade Stabilization,Earth,9.148,0.078,6297.0,1998.0,,0.06698,1659.22967,Uncontrolled,,0.0,,Low,Not Rated,,0.0725,31.9,20.2,
415,SOAD06075,Lyndrassia,No,Grade Stabilization,Earth,9.653,0.133,4150.0,1986.0,,0.07289,537.9845799999999,Uncontrolled,,0.0,,Low,Not Rated,,0.0781,24.0,16.4,
416,SOAD08558,Lyndrassia,No,Grade Stabilization,Earth,10.137,0.09,4820.0,1977.0,,0.12214,908.18189,Uncontrolled,,0.0,,Low,Not Rated,,0.0741,17.4,6.9,
417,SOAD08897,Flumevale,Yes,Debris Control,Gravity,15.149,0.196,46893.0,1965.0,,0.0906199999999999,15249.99854,Uncontrolled,18/06/2012,5.0,0.0,Low,Fair,18/06/2012,0.057,18.9,681.4,
418,SOAD08916,Lyndrassia,No,Grade Stabilization,Earth,11.004,0.083,7457.0,1997.0,,0.0925899999999999,5582.25584,Uncontrolled,,0.0,,Low,Not Rated,,0.0848,33.6,23.5,
419,SOAD09615,Lyndrassia,No,Grade Stabilization,Earth,9.456,0.119,8559.0,1994.0,,0.03152,878.8856999999999,Uncontrolled,,0.0,,Low,Not Rated,,0.0657,37.1,22.0,
420,SOAD09778,Lyndrassia,No,,Earth,12.692,0.192,45000.0,,1999,0.02561,266.329,Uncontrolled,,5.0,0.0,Low,Not Rated,,0.0673,38.8,843.8,
422,SOAD10422,Flumevale,Yes,Other,Gravity,10.899,0.133,16216.0,1968.0,,0.16942,,,04/06/2014,5.0,9.83,Low,Not Rated,,0.0904,8.7,381.9,
423,SOAD11189,Lyndrassia,No,Grade Stabilization,Earth,12.573,0.078,8071.0,1993.0,,0.03349,751.04778,Uncontrolled,,0.0,,Low,Not Rated,,0.1078,26.0,21.0,
424,SOAD12742,Navaldia,No,,Earth,12.713,0.2,,2012.0,,0.0197,0.0,Uncontrolled,06/07/2012,,,Low,Not Rated,18/06/2014,0.0789,7.2,17.7,
425,SOAD13168,Lyndrassia,No,Grade Stabilization,Earth,10.897,0.114,10672.0,1994.0,,0.06895,902.85531,Uncontrolled,,0.0,,Low,Not Rated,,0.0721,28.4,9.6,
427,SOAD15239,Navaldia,Yes,Flood Risk Reduction,Earth,9.03,0.22,,,,0.01576,0.0,,,,,Low,Not Rated,18/06/2014,0.1105,42.9,13.4,
429,SOAD16401,Navaldia,No,,Earth,5.595,0.07,,2001.0,,0.02758,0.0,Uncontrolled,19/03/2009,2.0,6.42,Significant,Not Rated,18/06/2014,0.1674,9.8,137.3,
430,SOAD16443,Lyndrassia,No,Grade Stabilization,Earth,10.67,0.063,3734.0,1996.0,,0.05122,705.77185,Uncontrolled,,0.0,,Low,Not Rated,,0.0724,10.9,17.1,
431,SOAD17256,Lyndrassia,No,Grade Stabilization,Earth,10.713,0.15,10870.0,2005.0,,0.02364,476.72891,Uncontrolled,15/09/2005,0.0,,Low,Not Rated,,0.0661,37.5,13.1,
432,SOAD17305,Lyndrassia,No,Grade Stabilization,Earth,10.403,0.115,8068.0,2003.0,,0.0453099999999999,663.15921,Uncontrolled,10/02/2003,0.0,,Low,Not Rated,,0.1027,31.3,6.6,
433,SOAD17879,Lyndrassia,No,Grade Stabilization,Earth,9.817,0.083,5922.0,1991.0,,0.0394,529.9947099999999,Uncontrolled,,0.0,,Low,Not Rated,,0.0688,9.1,18.9,
434,SOAD18365,Lyndrassia,No,Grade Stabilization,Earth,9.739,0.118,8640.0,1997.0,,0.08471,1664.55625,Uncontrolled,,0.0,,Low,Not Rated,,0.0696,8.4,20.0,
435,SOAD18466,Navaldia,No,,Earth,4.604,0.075,,,,0.0,0.0,Uncontrolled,16/02/2010,,,Significant,Not Rated,16/02/2015,0.1461,34.9,352.6,
436,SOAD18499,Navaldia,No,Debris Control,Earth,6.427,0.33,,2004.0,,0.02561,0.0,Uncontrolled,16/06/2016,,23.99,Significant,Not Rated,16/06/2021,0.1585,7.9,172.6,
438,SOAD19000,Lyndrassia,No,Grade Stabilization,Earth,9.376,0.075,7567.0,1994.0,,0.06698,2894.99623,Uncontrolled,,0.0,,Low,Not Rated,,0.1184,35.1,5.0,
439,SOAD19114,Lyndrassia,No,Grade Stabilization,Earth,10.172,0.117,8833.0,1992.0,,0.00788,386.17705,Uncontrolled,,0.0,,Low,Not Rated,,0.0852,8.3,10.6,
440,SOAD19323,Lyndrassia,No,Grade Stabilization,Earth,10.965,0.113,10599.0,1996.0,,0.00788,290.29861,Uncontrolled,,0.0,,Low,Not Rated,,0.0976,8.4,12.4,
441,SOAD19592,Navaldia,No,Flood Risk Reduction,Earth,9.447,0.072,4388.0,1969.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0985,47.1,20.7,
443,SOAD01676,Flumevale,Yes,,Earth,9.449,0.08,,1982.0,,0.00788,0.0,Uncontrolled,20/03/2019,6.0,0.0,Low,Satisfactory,28/07/2020,0.0327,20.7,105.1,
444,SOAD01824,Navaldia,Yes,Flood Risk Reduction,Earth,4.444,0.313,,1992.0,,,5.32658,,26/03/2019,2.0,,Significant,Fair,,0.1414,392.2,183.5,
446,SOAD03436,Flumevale,Yes,Other,Earth,10.554,0.063,,1974.0,,0.01576,0.0,Uncontrolled,30/04/1992,0.0,0.0,Low,Not Rated,,0.0814,47.1,910.2,
448,SOAD04058,Lyndrassia,No,Other,,9.391,,0.0,1985.0,,0.01576,143.81766,,,0.0,17.04,Low,Not Rated,,0.0955,20.9,164.4,
450,SOAD04799,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.507,0.092,6200.0,2000.0,,0.01773,90.55186,Uncontrolled,01/11/2000,0.0,,Low,Not Rated,,0.1124,38.1,7.9,
